,Compound Name,Physical Parameter,Dimensions,Temporal Shape,Spatial Shape,Cell Methods,Cell Measures,Dimensions (from Spatial Shape),Dimensions (from Temporal Shape),CMIP7_branded_variable_name
538,CFmon.pctisccp,pctisccp,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where cloud,area: areacella,"longitude,latitude",time,pctisccp_ti-u-hxy-cl
539,CFmon.ps,ps,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,ps_ti-u-hxy-u
540,CFmon.rld,rld,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,rld_ti-l-hxy-u
541,CFmon.rld4co2,rld4co2,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,rld4co2_ti-l-hxy-u
542,CFmon.rldcs,rldcs,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,rldcs_ti-l-hxy-u
543,CFmon.rldcs4co2,rldcs4co2,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,rldcs4co2_ti-l-hxy-u
544,CFmon.rlu,rlu,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,rlu_ti-l-hxy-u
545,CFmon.rlu4co2,rlu4co2,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,rlu4co2_ti-l-hxy-u
546,CFmon.rlucs,rlucs,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,rlucs_ti-l-hxy-u
547,CFmon.rlucs4co2,rlucs4co2,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,rlucs4co2_ti-l-hxy-u
548,CFmon.rlut4co2,rlut4co2,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rlut4co2_ti-u-hxy-u
549,CFmon.rlutcs4co2,rlutcs4co2,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rlutcs4co2_ti-u-hxy-u
550,CFmon.rsd,rsd,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,rsd_ti-l-hxy-u
551,CFmon.rsd4co2,rsd4co2,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,rsd4co2_ti-l-hxy-u
552,CFmon.rsdcs,rsdcs,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,rsdcs_ti-l-hxy-u
553,CFmon.rsdcs4co2,rsdcs4co2,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,rsdcs4co2_ti-l-hxy-u
554,CFmon.rsu,rsu,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,rsu_ti-l-hxy-u
